Price1,Price2,Price3,Date
106.49307407107476,109.05996905881915,91.14529979195912,2023-11-28
106.63612515948022,,,2023-11-29
106.78297714391518,108.29979390023391,91.59875232144233,2023-11-30
108.4305251878559,110.31513724140918,92.95939268551994,2023-12-01
106.82083863286694,108.38211209665685,91.76866448767917,2023-12-02
107.19029959625045,109.18863178036882,91.76953652030873,2023-12-03
107.05476935113658,108.01260555925397,90.10896573195876,2023-12-04
106.73920247633085,108.87346881820257,91.25724717733773,2023-12-05
106.42897829785177,108.1130707576052,90.53624958992746,2023-12-06
106.37790360697801,108.84844514429285,92.69283093353394,2023-12-07
106.90858958689863,109.09895794603715,93.14021310209469,2023-12-08
106.0958122828863,108.43561726083296,90.89164671068087,2023-12-09
107.95008401966413,109.25601885419782,92.29116346480059,2023-12-10
107.99480885192456,110.59420369399592,93.77792041007731,2023-12-11
106.21677901313326,108.53808302527145,91.12304652915401,2023-12-12
,109.03662268542189,92.46234673797765,2023-12-13
106.44747364696,108.1560388174133,91.42947725546915,2023-12-14
107.85052090903172,109.66644199177662,92.17535066403109,2023-12-15
107.7864775035476,109.38409450087879,91.91023777111928,2023-12-16
,,91.3537382368735,2023-12-17
